"Operation","SourcePath","DestinationPaths","SourceSHA256","Verification"
"move","03 Оценка защищённости\Сканирование уязвимостей\CMS scanners\JOOMSCAN.md","03 Оценка защищённости\03 Сканеры уязвимостей\CMS\JoomScan.md","9D890BA145BD71C526BB57873F958858FCD6F3E8D1A1849FC7FC872450A8C12C","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\CMS scanners\WPScan.md","03 Оценка защищённости\03 Сканеры уязвимостей\CMS\WPScan.md","BCEED3CFD1CF49F0347ADD1AD616187B1054A4DD56F48D587AC840D9B3AD8475","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\K8s scanners\Kube-hunter.md","03 Оценка защищённости\03 Сканеры уязвимостей\Контейнеры и Kubernetes\kube-hunter.md","096AD044CA010FF61BB2C98831D65953CF43ADD8E996CAFAEA4AD11C578C5990","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\K8s scanners\Trivy.md","03 Оценка защищённости\03 Сканеры уязвимостей\Контейнеры и Kubernetes\Trivy.md","AC5865CD096B4510B4E515C56BDCD622878FEDCDB42A66B3F57E8CFB8414D67C","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\Mobile scanners\QARK.md","03 Оценка защищённости\03 Сканеры уязвимостей\Mobile\QARK.md","A2F57B86C81C93AAF9568A6C29DF63A1FC38C651F1BEF77F241C0F9A87A518FF","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\network scanners\JOK3R.md","03 Оценка защищённости\03 Сканеры уязвимостей\Инфраструктура\JOK3R.md","DB3CD078032AF2E90FD30DA536226231854ACC11B0332B082428C27B077DB481","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\network scanners\Nessus.md","03 Оценка защищённости\03 Сканеры уязвимостей\Инфраструктура\Nessus.md","A276412C7B47816DFC7004195807E7F798B1130E94DF352239B1CAB3F2F83D79","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\network scanners\Nuclei.md","03 Оценка защищённости\03 Сканеры уязвимостей\Автоматизация\Nuclei.md","E3618EF613127D0EDD101DF6B37D9CD4439A86173EA99CE79E9FD314DDD23D68","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\network scanners\openVAS.md","03 Оценка защищённости\03 Сканеры уязвимостей\Инфраструктура\OpenVAS GVM.md","1C49B4BEB3423953260104A75FCBF440B8532D6230583A560F831E84D28248C8","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\network scanners\Sn1per.md","03 Оценка защищённости\03 Сканеры уязвимостей\Автоматизация\Sn1per.md","1C458C7A7160D7CB8A120E2CC679C812420719EA303AA253E2881DCB78CCEFA2","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\CVEScannerV2.md","03 Оценка защищённости\03 Сканеры уязвимостей\Автоматизация\CVEScannerV2.md","6F7C512840504FBAAB5B4796DDB4DAA67B4B2A287072BDA61B02A169F5C1ECA4","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\Web scanners & Web vulnerability\Back-Me-Up.md","03 Оценка защищённости\03 Сканеры уязвимостей\Web\Back-Me-Up.md","1C356574AD06176710499AD6A47C15574DFF0D1579991EC5CC52BEC31F3F9470","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\Web scanners & Web vulnerability\NIKTO.md","03 Оценка защищённости\03 Сканеры уязвимостей\Web\Nikto.md","AF32751EADACCA6FE7DB1B36AF38B8DE8EAA8542280B348AF1F016D43B3B589D","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\Web scanners & Web vulnerability\Vega.md","03 Оценка защищённости\03 Сканеры уязвимостей\Web\Vega.md","087FB14A51BBF4183E255E6005059A458F931B19BF73A8634A8CD88A5CA7CDC1","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\Web scanners & Web vulnerability\Wapiti.md","03 Оценка защищённости\03 Сканеры уязвимостей\Web\Wapiti.md","20C772A1C583084934C734B099721385A6B3002CC8705AF9C9799F998870BC80","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\Web scanners & Web vulnerability\Whatweb.md","03 Оценка защищённости\02 Обнаружение поверхности\WhatWeb.md","1EFFC149033D4320D406B9B3E11F6835F064609326CF3AB8B7E760179271C4C3","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\Web scanners & Web vulnerability\Web vulnerabilitys - help.md","03 Оценка защищённости\05 Работа с результатами\HTTP-заголовки — памятка.md","0B7DBF571D09593DAE505469FC98E9BA1EB97E55641C57E9C74F93A7C8025E84","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\Web scanners & Web vulnerability\Metasploit.md","05 Сетевая безопасность\Атаки в лабораторной среде\Metasploit — дополнительные материалы.md","A3F1C0D963A9DAC75DCD9D242CFD0A0B4127C8A68032F2738B2F0439D7D1B73E","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\Инструментарий.md","06 Безопасность систем\Повышение привилегий\Инструменты перечисления.md","155EC473EEFBACF92EA9DD69F1822D7AB2E4352BCB9C19C3BF4DE83B172EDFF3","SHA256 match"
"move","03 Оценка защищённости\Сканирование уязвимостей\Введение.md","03 Оценка защищённости\03 Сканеры уязвимостей\Каталог исходных инструментов.md","07759581BEBB4269102D3CF1E53C4572C48E07D9F6FE44E135863B94D93597F0","SHA256 match"
"merge redirect","03 Оценка защищённости\Сканирование уязвимостей\Web scanners & Web vulnerability\BBOT.md","02 Разведка и моделирование угроз\06 Инструменты\Фреймворки\BBOT.md","347C97DDC48250B93D25AF364E3DA300D4B531C3880F257076EC89F7BF282DAD","Reference represented in section index"
