"Operation","SourcePath","DestinationPaths","SourceSHA256","Verification"
"move","05 Сетевая безопасность\Атаки в лабораторной среде\Active Directory\1. Исследование Windows.md","06 Безопасность систем\Windows\Исследование и администрирование Windows.md","AAD84DEE6CD8D2C0B68EE2606A6F76DC7DCFDB4FE05A83D3333747BAA50AA3F5","SHA256 match"
"move","05 Сетевая безопасность\Атаки в лабораторной среде\Active Directory\bloodhound.md","05 Сетевая безопасность\Active Directory\Инструменты\BloodHound.md","58678B8E04732382621D8D0FA4386DA06D02E9B9C447453AA8714097E293CF06","SHA256 match"
"move","05 Сетевая безопасность\Атаки в лабораторной среде\Active Directory\Crackmapexec.md","05 Сетевая безопасность\Active Directory\Инструменты\CrackMapExec.md","34009B0FE2E5A170BADD5DD2779B558A9CE1BE29EE7F0EB3D70E31670B62454C","SHA256 match"
"move","05 Сетевая безопасность\Атаки в лабораторной среде\Active Directory\Invoke-ADEnum.md","05 Сетевая безопасность\Active Directory\Инструменты\Invoke-ADEnum.md","33DB5E26292761EE26B6CDE4BF3D2DBA67CE20DD8E812FE9EC17811DC63FFA95","SHA256 match"
"move","05 Сетевая безопасность\Атаки в лабораторной среде\Active Directory\kerbrute.md","05 Сетевая безопасность\Active Directory\Инструменты\Kerbrute.md","F42901719E69882D9FCB6E1CC00A2F5F41CCE54B61F76221184244D61BBD82D9","SHA256 match"
"move","05 Сетевая безопасность\Атаки в лабораторной среде\Active Directory\Leaked Wallpaper (повышение привелегий).md","06 Безопасность систем\Windows\Повышение привилегий\Leaked Wallpaper.md","F3930C9DA9ADB900DE40D57253BE568B997AA134AA63BD576B7FE9BFA16A2626","SHA256 match"
"move","05 Сетевая безопасность\Атаки в лабораторной среде\impacket.md","05 Сетевая безопасность\Active Directory\Инструменты\Impacket.md","EE24C76179E83ABFBF861351A816E10922E2FD538C342AABBEA99E302F1417A7","SHA256 match"
"move","05 Сетевая безопасность\Атаки в лабораторной среде\Nmap.md","03 Оценка защищённости\02 Обнаружение поверхности\Nmap.md","5010EABA8AEEE16BF7BB403E7232E83B054EB7305B10F116084642B12B565C40","SHA256 match"
"move","05 Сетевая безопасность\Атаки в лабораторной среде\Альтернативы Nmap\Advanced-ip-scanner.md","03 Оценка защищённости\02 Обнаружение поверхности\Альтернативы Nmap\Advanced IP Scanner.md","F1F49E38903EFE76F507B5D408BBAFD37D1DB752BD85B1517468E00F69BC30FC","SHA256 match"
"move","05 Сетевая безопасность\Атаки в лабораторной среде\Альтернативы Nmap\Angry IP Scanner.md","03 Оценка защищённости\02 Обнаружение поверхности\Альтернативы Nmap\Angry IP Scanner.md","8EE3CA4C3F595126C3BF6EF3867967A9BCC559F67A738B9015B349E0F5350F45","SHA256 match"
"move","05 Сетевая безопасность\Атаки в лабораторной среде\Альтернативы Nmap\RustScan.md","03 Оценка защищённости\02 Обнаружение поверхности\Альтернативы Nmap\RustScan.md","55C0335C19554FEDE365CD12F13D7F95723DE6EF846699EAFC6A16C67FF31DD6","SHA256 match"
"move","05 Сетевая безопасность\Атаки в лабораторной среде\Альтернативы Nmap\SoftPerfect Network Scanner.md","03 Оценка защищённости\02 Обнаружение поверхности\Альтернативы Nmap\SoftPerfect Network Scanner.md","35399419E67A4A4C9F25957F0570D2937286E7D450AA215E99EFCC32386932AE","SHA256 match"
"move","05 Сетевая безопасность\Атаки в лабораторной среде\Альтернативы Nmap\Zenmap.md","03 Оценка защищённости\02 Обнаружение поверхности\Альтернативы Nmap\Zenmap.md","5EEDC7ADE476C111B93DF82B9C5E0A3DB0BA7250BD58EDEB51D7D36CAEAAF520","SHA256 match"
"move","05 Сетевая безопасность\Атаки в лабораторной среде\xfreedp.md","10 Справочники\Команды\xfreerdp.md","7F9A5EA4007ED8544ADF70003F6417BB3394D03358816C1CAEAAAC06ACE27BF1","SHA256 match"
"move","07 Анализ и исследование\Анализ сетевого трафика\TCPdump.md","05 Сетевая безопасность\Анализ трафика\tcpdump.md","3AA7C9121E634D2A5394895F629561C167282026E7B03A2CC42D3D424FE285CB","SHA256 match"
