"OldPath","NewPath","ReferencingNote","Reason","SHA256"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725172054.png","01 Основы\Linux\assets\Pasted image 20240725172054.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","6F2E2FC3B49D1CD1F03F8FBB5C5602BD325B216BDD5920FD35E84AD868ADCB76"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725172522.png","01 Основы\Linux\assets\Pasted image 20240725172522.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","C522C59858ADC3D8E5EFFDF86A31DAD12B329DF75DF3FA8A79305511C87966C0"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725172821.png","01 Основы\Linux\assets\Pasted image 20240725172821.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","4C55A7F753B411614762F03554BF7B9B3A923881AF5BF1DC7D17FB92ECC8A8E6"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725173133.png","01 Основы\Linux\assets\Pasted image 20240725173133.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","9A08634CFB471B5C55817EF52C270D38BAE8E2E5DE7C7160D90835FAB5BACC3F"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725173507.png","01 Основы\Linux\assets\Pasted image 20240725173507.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","28C560C3567926AE833B56C18F4AE721CAA7AB35BA12B65F1FFD67E463F0CE22"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725173950.png","01 Основы\Linux\assets\Pasted image 20240725173950.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","3C8F53B96901370CD03A045A042E01594F16E99DB1E52C330109B7FD8C6FC3C8"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725175246.png","01 Основы\Linux\assets\Pasted image 20240725175246.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","2AC7B71868549CF45940419754686FD37AD664A7E20DFD6F0E263742F5304CE2"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725175307.png","01 Основы\Linux\assets\Pasted image 20240725175307.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","7AE3FF4679E8943885F547EF0E5F68AB2D3DBCE2543340EC0E066B03260A8A73"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725175524.png","01 Основы\Linux\assets\Pasted image 20240725175524.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","FB24CCC5B8367BDD90F05E4886E067D3B3C0E511FBA036D0961B1C1CDC4C047C"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725175959.png","01 Основы\Linux\assets\Pasted image 20240725175959.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","CD21963DC221679E4106CC020008299A2D8767D9CFBE0C68D95BABD38F2B8C56"
