"Operation","SourcePath","DestinationPaths","SourceSHA256","Verification"
"move","07 Анализ и исследование\BEC.md","08 Человеческий фактор\03 Business Email Compromise\BEC.md","E0E893B8E626D12F33E45F8F366F5237FA0502EF7A7F9B5BC91C1418600C9D6E","SHA256 match"
"move","08 Человеческий фактор\Социальная инженерия\Social engineer Toolkit.md","08 Человеческий фактор\04 Инструменты симуляций\Social-Engineer Toolkit.md","17194E11AA0BC2B055FDEEA0C87CFFCB47477BAAA5A1DD7158775B73E2ECE735","SHA256 match"
"move","08 Человеческий фактор\Фишинг и OSINT-сценарии\Фишинг.md","08 Человеческий фактор\02 Фишинговые симуляции\Планирование учебной фишинговой кампании.md","82E1085C3CA41FD01173FB958B66B556A4676A9646A023E5C433242C60F91FB8","SHA256 match"
"move","08 Человеческий фактор\Фишинг и OSINT-сценарии\Взлом устройства человека.md","08 Человеческий фактор\90 Рискованные исходные сценарии\Инструменты захвата данных с устройства.md","9801AA4375920908F36AF3FA6033414173D9A73D4F72632FECA84735786D1823","SHA256 match"
"move","08 Человеческий фактор\Фишинг и OSINT-сценарии\Деанон пользователя VK с помощью фишинга.md","08 Человеческий фактор\90 Рискованные исходные сценарии\Фишинговый деанон VK.md","828EE6FB7A88518ADDFE52D67674E565E3D2E1562C09A398AE69FDE2885CF6BA","SHA256 match"
